CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
MI-514,Battle Creek/Calhoun County CoC,Other Largely Urban CoC,241,54,16,171,76,163,0,2,228,13,129,96,1,7,1,7
MI-515,Monroe City & County CoC,Largely Suburban CoC,167,48,13,106,86,81,0,0,158,9,112,46,1,1,0,7
MI-516, Norton Shores Muskegon City & County CoC ,Largely Suburban CoC,136,33,11,92,53,83,0,0,128,8,77,52,1,1,0,5
MI-517,Jackson City & County CoC,Largely Rural CoC,113,16,7,90,47,66,0,0,107,6,71,33,0,3,0,6
MI-518,Livingston County CoC,Largely Suburban CoC,89,25,9,55,46,43,0,0,82,7,78,8,0,0,0,3
CoC Number,CoC Name,CoC Category, Overall Homeless 2019 , Overall Homeless - Under 18, 2019 , Overall Homeless - Age 18 to 24, 2019 , Overall Homeless - Over 24, 2019 , Overall Homeless - Female, 2019 , Overall Homeless - Male, 2019 , Overall Homeless - Transgender, 2019 , Overall Homeless - Gender Non-Conforming, 2019 , Overall Homeless - Non-Hispanic/Non-Latino
MI-519,Holland/Ottawa County CoC,Largely Suburban CoC,225,65,15,145,105,120,0,0,187,38,175,28,10,5,1,6
MI-523,Eaton County CoC,Largely Suburban CoC,114,72,3,39,68,46,0,0,108,6,85,13,0,0,0,16
MN-500,Minneapolis/Hennepin County CoC,Major City CoC, 3400 ,838,307, 2,255 , 1,451 , 1,935 ,11,3, 3,172 ,228,745, 1
MN-501,Saint Paul/Ramsey County CoC,Other Largely Urban CoC, 1579 ,397,131, 1,051 ,616,952,10,1, 1,458 ,121,422,888,52,77
MN-502,Rochester/Southeast Minnesota CoC,Largely Rural CoC,452,166,89,197,249,202,1,0,395,57,253,160,3,7,0,29
MN-503, Dakota Anoka Washington Scott Carver Counties ,Largely Suburban CoC,686,181,94,411,341,340,3,2,650,36,364,210,17,25,2,68
MN-504,Northeast Minnesota CoC,Largely Rural CoC,90,28,11,51,41,49,0,0,85,5,77,0,0,5,0,8
MN-505,St. Cloud/Central Minnesota CoC,Largely Rural CoC,679,213,101,365,351,326,1,1,653,26,343,94,7,199,1,35
MN-506,Northwest Minnesota CoC,Largely Rural CoC,268,92,57,119,119,149,0,0,245,23,111,7,0,122,0,28
MN-508,Moorhead/West Central Minnesota CoC,Largely Rural CoC,216,74,30,112,108,106,1,1,187,29,130,33,1,27,1,24
MN-509,Duluth/St.Louis County CoC,Largely Rural CoC,519,133,64,322,233,284,2,0,486,33,289,62,1,109,6,52
MN-511,Southwest Minnesota CoC,Largely Rural CoC,88,35,16,37,45,42,0,1,65,23,51,26,2,2,0,7
MO-500,St. Louis County CoC,Largely Suburban CoC,487,149,146,192,275,205,7,0,472,15,96,367,4,1,1,18
MO-501,St.Louis City CoC,Other Largely Urban CoC, 1031 ,179,78,774,332,693,3,3, 1,006 ,25,220,760,8,6,4
MO-503, St. Charles City & County Lincoln Warren Counties CoC ,Largely Suburban CoC,438,97,44,297,206,230,2,0,423,15,305,105,0,8,0,20
MO-600, Springfield/Greene Christian Webster Counties CoC ,Other Largely Urban CoC,492,105,46,341,219,270,2,1,456,36,372,66,5,14,2,33
MO-602, Joplin/Jasper Newton Counties CoC ,Largely Rural CoC,237,35,8,194,75,161,0,1,232,5,212,15,0,3,0,7
MO-603, St. Joseph/Andrew Buchanan DeKalb Counties CoC ,Other Largely Urban CoC,255,55,16,184,121,134,0,0,241,14,187,33,1,9,4,21
MO-604a, Kansas City Independence Lee’s Summit/Jackson Wyandotte Counties MO & KS ,Major City CoC, 1,979 ,448,89, 1,442 ,791, 1,179 ,3,6, 1,851 ,128,849,965
MO-606,Missouri Balance of State CoC,Largely Rural CoC, 1362 ,298,123,941,704,651,4,3, 1,282 ,80,987,284,5,17,4
MP-500,Northern Mariana Islands CoC,Largely Rural CoC, 1807 ,586,191, 1,030 ,837,970,0,0, 1,807 ,0,1,1,494,0
MS-500, Jackson/Rankin Madison Counties CoC ,Largely Suburban CoC,408,47,19,342,124,269,0,15,407,1,142,249,0,0,0,17
MS-501,Mississippi Balance of State CoC,Largely Rural CoC,480,67,30,383,181,299,0,0,458,22,220,250,0,1,0,9
MS-503,Gulf Port/Gulf Coast Regional CoC,Largely Rural CoC,296,38,6,252,112,184,0,0,291,5,199,75,6,5,1,10
MT-500,Montana Statewide CoC,Largely Rural CoC, 1357 ,250,111,996,555,793,4,5, 1,211 ,146,905,36,8,234,12
NC-500,Winston-Salem/Forsyth County CoC,Other Largely Urban CoC,454,47,31,376,105,349,0,0,434,20,160,279,0,3,0,12
NC-501,Asheville/Buncombe County CoC,Largely Suburban CoC,580,29,27,524,149,428,0,3,568,12,364,165,0,8,0,43
NC-502,Durham City & County CoC,Other Largely Urban CoC,361,69,21,271,111,250,0,0,349,12,68,276,0,3,2,12
NC-503,North Carolina Balance of State CoC,Largely Rural CoC, 2989 ,464,206, 2,319 , 1,257 , 1,727 ,2,3, 2,868 ,121, 1,696 
NC-504, Greensboro High Point CoC ,Other Largely Urban CoC,586,93,25,468,173,413,0,0,563,23,126,420,1,5,0,34
NC-505,Charlotte/Mecklenberg CoC,Major City CoC, 1742 ,342,85, 1,315 ,730, 1,007 ,4,1, 1,675 ,67,286, 1,402 
NC-506, Wilmington/Brunswick New Hanover Pender Counties CoC ,Largely Suburban CoC,431,60,17,354,154,276,1,0,404,27,272,134,0,3,2,20
NC-507,Raleigh/Wake County CoC,Major City CoC,970,193,47,730,358,604,5,3,926,44,289,623,6,8,1,43
NC-509, Gastonia/Cleveland Gaston Lincoln Counties CoC ,Largely Suburban CoC,324,59,19,246,146,178,0,0,315,9,221,92,0,0,0,11
NC-511,Fayetteville/Cumberland County CoC,Other Largely Urban CoC,329,70,10,249,136,193,0,0,310,19,104,205,0,9,2,9
NC-513,Chapel Hill/Orange County CoC,Other Largely Urban CoC,131,17,1,113,42,89,0,0,126,5,50,67,3,0,0,11
NC-516,Northwest North Carolina CoC,Largely Rural CoC,417,110,43,264,215,202,0,0,365,52,356,57,1,0,0,3
ND-500,North Dakota Statewide CoC,Largely Rural CoC,557,127,74,356,178,378,1,0,475,82,322,90,1,101,7,36
NE-500,Nebraska Balance of State CoC,Largely Rural CoC,506,123,56,327,233,271,1,1,407,99,438,26,1,23,1,17
NE-501, Omaha Council Bluffs CoC ,Major City CoC, 1,410 ,182,86, 1,142 ,436,972,2,0, 1,283 ,127,892,385,9
NE-502,Lincoln CoC,Other Largely Urban CoC,449,118,43,288,197,251,1,0,414,35,250,135,3,19,0,42
NH-500,New Hampshire Balance of State CoC,Largely Rural CoC,669,155,62,452,309,351,1,8,624,45,580,29,2,1,3,54
NH-501,Manchester CoC,Other Largely Urban CoC,461,113,43,305,207,251,2,1,399,62,366,48,2,3,2,40
NH-502,Nashua/Hillsborough County CoC,Largely Suburban CoC,266,84,12,170,110,156,0,0,208,58,226,23,5,1,1,10
NJ-500,Atlantic City & County CoC,Largely Suburban CoC,357,18,37,302,98,259,0,0,308,49,165,168,8,4,2,10
NJ-501,Bergen County CoC,Largely Suburban CoC,271,67,19,185,128,142,1,0,196,75,160,92,10,3,1,5
NJ-502,Burlington County CoC,Largely Suburban CoC,518,172,35,311,261,256,1,0,470,48,184,289,3,2,4,36
NJ-503, Camden City & County/Gloucester Cape May Cumberland Counties CoC ,Largely Suburban CoC,979,124,70,785,355,622,2,0,842,137,467,480,2,6,8,16
NJ-504,Newark/Essex County CoC,Largely Suburban CoC, 2235 ,525,209, 1,501 ,949, 1,277 ,8,1, 1,897 ,338,391, 1,787 
NJ-506, Jersey City Bayonne/Hudson County CoC ,Largely Suburban CoC,890,98,41,751,286,603,1,0,598,292,387,480,11,5,1,6
NJ-507,New Brunswick/Middlesex County CoC,Largely Suburban CoC,620,158,47,415,253,367,0,0,384,236,299,274,4,4,2,37
NJ-508,Monmouth County CoC,Largely Suburban CoC,359,94,26,239,145,214,0,0,270,89,190,149,1,1,2,16
NJ-509,Morris County CoC,Largely Suburban CoC,388,88,34,266,149,238,1,0,326,62,282,90,3,4,0,9
NJ-510,Lakewood Township/Ocean County CoC,Largely Suburban CoC,305,77,41,187,138,164,2,1,253,52,201,86,0,2,2,14
NJ-511,Paterson/Passaic County CoC,Largely Suburban CoC,391,64,25,302,168,222,1,0,262,129,179,181,3,8,12,8
NJ-512,Salem County CoC,Largely Suburban CoC,29,14,0,15,16,13,0,0,22,7,7,22,0,0,0,0
NJ-513,Somerset County CoC,Largely Suburban CoC,301,75,38,188,131,170,0,0,261,40,139,141,9,0,0,12
NJ-514,Trenton/Mercer County CoC,Largely Suburban CoC,448,78,30,340,140,308,0,0,352,96,146,287,3,3,1,8
NJ-515,Elizabeth/Union County CoC,Largely Suburban CoC,437,121,38,278,208,229,0,0,325,112,104,306,4,7,0,16
NJ-516, Warren Sussex Hunterdon Counties CoC ,Largely Suburban CoC,334,58,24,252,154,180,0,0,305,29,244,81,2,2,0,5
NM-500,Albuquerque CoC,Major City CoC, 1524 ,207,99, 1,218 ,503, 1,005 ,14,2,898,626,941,108,15,386
NM-501,New Mexico Balance of State CoC,Largely Rural CoC, 1717 ,308,118, 1,291 ,775,925,5,12,981,736,901,84,2,456,12
NV-500,Las Vegas/Clark County CoC,Major City CoC, 5530 ,516,916, 4,098 , 1,586 , 3,916 ,28,0, 4,797 ,733, 2,973 
NV-501, Reno Sparks/Washoe County CoC ,Other Largely Urban CoC, 1,256 ,110,91, 1,055 ,365,887,3,1, 1,057 ,199,953,161,18
NV-502,Nevada Balance of State CoC,Largely Rural CoC,383,30,18,335,144,239,0,0,367,16,371,3,0,3,0,6
NY-500, Rochester Irondequoit Greece/Monroe County CoC ,Largely Suburban CoC,849,166,104,579,298,549,2,0,690,159,329,463,4,0,1,52
NY-501, Elmira/Steuben Allegany Livingston Chemung Schuyler Counties CoC ,Largely Rural CoC,240,68,19,153,113,127,0,0,239,1,199,31,1,1,1,7
NY-503,Albany City & County CoC,Largely Suburban CoC,750,143,40,567,205,542,3,0,643,107,294,388,8,7,2,51
NY-504,Cattaragus County CoC,Largely Rural CoC,33,3,6,24,13,20,0,0,32,1,25,6,0,2,0,0
NY-505, Syracuse Auburn/Onondaga Oswego Cayuga Counties CoC ,Largely Suburban CoC,732,113,80,539,269,458,5,0,658,74,387,263,2,9,8,63
NY-507,Schenectady City & County CoC,Largely Suburban CoC,372,76,27,269,155,217,0,0,307,65,164,140,1,1,0,66
NY-508, Buffalo Niagara Falls/Erie Niagara Orleans Genesee Wyoming Counties CoC ,Largely Suburban CoC,924,262,64,598,401,519,1,3,825,99,387,452,3,10,3,69
NY-510,Ithaca/Tompkins County CoC,Largely Rural CoC,171,29,32,110,73,98,0,0,157,14,100,47,0,2,0,22
NY-511, Binghamton Union Town/Broome Otsego Chenango Delaware Cortland Tioga Count ,Largely Rural CoC,318,36,40,242,96,222,0,0,307,11,279,30,4,2,0,3
NY-512,Troy/Rensselaer County CoC,Largely Suburban CoC,199,52,19,128,96,100,3,0,166,33,76,114,1,0,2,6
NY-513, Wayne Ontario Seneca Yates Counties CoC ,Largely Rural CoC,205,44,15,146,86,119,0,0,178,27,157,47,0,1,0,0
NY-514, Jamestown Dunkirk/Chautauqua County CoC ,Largely Rural CoC,96,32,13,51,46,50,0,0,60,36,83,10,0,0,0,3
NY-516,Clinton County CoC,Largely Rural CoC,164,21,14,129,52,111,0,1,145,19,138,14,0,3,1,8
NY-518, Utica Rome/Oneida Madison Counties CoC ,Largely Rural CoC,168,30,25,113,69,96,2,1,154,14,114,39,2,1,2,10
NY-519, Columbia Greene Counties CoC ,Largely Rural CoC,200,57,18,125,99,99,2,0,181,19,125,55,0,0,0,20
NY-520, Franklin Essex Counties CoC ,Largely Rural CoC,24,1,2,21,7,17,0,0,23,1,20,0,2,2,0,0
NY-522, Jefferson Lewis St. Lawrence Counties CoC ,Largely Rural CoC,53,7,9,37,28,25,0,0,53,0,44,6,0,1,0,2
NY-523, Glens Falls Saratoga Springs/Saratoga Washington Warren Hamilton Counties Co ,Largely Suburban CoC,268,41,36,191,106,162,0,0,237,31,201,50,5,3,0,9
NY-525,New York Balance of State Continuum of Care,Largely Rural CoC,168,57,19,92,76,92,0,0,129,39,141,10,0,0,0,17
NY-600,New York City CoC,Major City CoC, 78604 , 24,725 , 7,316 , 46,563 , 36,904 , 41,302 ,379,19, 50,235 , 28
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,533,168,39,326,263,269,0,1,451,82,247,261,0,1,2,22
NY-602, Newburgh Middletown/Orange County CoC ,Largely Suburban CoC,589,224,74,291,266,323,0,0,464,125,265,245,0,0,0,79
NY-603, Nassau Suffolk Counties CoC ,Largely Suburban CoC, 3,843 , 1,656 ,240, 1,947 , 2,006 , 1,836 ,1,0, 3,114 ,729
NY-604, Yonkers Mount Vernon/Westchester County CoC ,Largely Suburban CoC, 1,812 ,732,130,950,898,913,1,0, 1,341 ,471,532, 1,238 ,5
NY-606,Rockland County CoC,Largely Suburban CoC,182,21,9,152,63,118,1,0,145,37,94,65,1,0,0,22
NY-607,Sullivan County CoC,Largely Rural CoC,162,59,17,86,79,83,0,0,144,18,117,24,0,2,0,19
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,432,162,37,233,213,218,1,0,379,53,289,96,9,6,0,32
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC, 1082 ,208,89,785,356,721,4,1, 1,069 ,13,405,639,1,2,0
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,611,160,23,428,270,341,0,0,566,45,261,305,0,5,0,40
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC, 1618 ,269,121, 1,228 ,519, 1,091 ,8,0, 1,539 ,79,405, 1,172 
OH-503,Columbus/Franklin County CoC,Major City CoC, 1907 ,354,191, 1,362 ,756, 1,144 ,6,1, 1,836 ,71,561, 1,213 
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,148,28,6,114,31,117,0,0,139,9,83,56,0,0,1,8
OH-505, Dayton Kettering/Montgomery County CoC ,Largely Suburban CoC,681,86,94,501,228,446,6,1,663,18,319,316,2,6,1,37
OH-506, Akron Barberton/Summit County CoC ,Largely Suburban CoC,546,79,26,441,224,322,0,0,540,6,279,235,7,3,0,22
OH-507,Ohio Balance of State CoC,Largely Rural CoC, 3479 ,853,290, 2,336 , 1,597 , 1,880 ,2,0, 3,339 ,140, 2,714 
CoC Number,CoC Name,CoC Category, Overall Homeless 2019 , Overall Homeless - Under 18, 2019 , Overall Homeless - Age 18 to 24, 2019 , Overall Homeless - Over 24, 2019 , Overall Homeless - Female, 2019 , Overall Homeless - Male, 2019 , Overall Homeless - Transgender, 2019 , Overall Homeless - Gender Non-Conforming, 2019 , Overall Homeless - Non-Hispanic/Non-Latino
OH-508, Canton Massillon Alliance/Stark County CoC ,Largely Suburban CoC,273,98,13,162,150,123,0,0,265,8,153,78,1,1,0,40
OK-500,North Central Oklahoma CoC,Largely Rural CoC,178,44,35,99,86,92,0,0,166,12,127,11,0,23,6,11
OK-501,Tulsa City & County CoC,Major City CoC, 1188 ,154,126,908,389,793,2,4, 1,103 ,85,630,266,6,185,0
OK-502,Oklahoma City CoC,Major City CoC, 1273 ,131,90, 1,052 ,387,877,5,4, 1,162 ,111,742,345,5,100
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,279,34,22,223,122,157,0,0,264,15,204,26,1,37,6,5
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,347,26,12,309,103,244,0,0,340,7,297,18,1,15,2,14
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,228,52,12,164,86,142,0,0,211,17,145,12,2,56,1,12
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,158,39,4,115,50,108,0,0,149,9,90,44,0,21,3,0
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,293,69,26,198,128,165,0,0,275,18,193,30,0,45,0,25
OR-500, Eugene Springfield/Lane County CoC ,Other Largely Urban CoC, 2,165 ,166,131, 1,868 ,640, 1,513 ,8,4, 2,000 ,165, 1,793 
OR-501, Portland Gresham/Multnomah County CoC ,Major City CoC, 4,015 ,195,285, 3,535 , 1,399 , 2,531 ,42,43, 3,633 ,382, 2
OR-502, Medford Ashland/Jackson County CoC ,Largely Suburban CoC,712,71,55,586,236,473,2,1,625,87,596,21,1,36,13,45
OR-503,Central Oregon CoC,Largely Rural CoC,880,147,76,657,369,506,2,3,834,46,750,13,0,94,3,20
OR-505,Oregon Balance of State CoC,Largely Rural CoC, 7103 , 1,932 ,497, 4,674 , 3,202 , 3,879 ,15,7, 6,348 ,755, 6
OR-506, Hillsboro Beaverton/Washington County CoC ,Largely Suburban CoC,530,81,37,412,167,352,8,3,462,68,402,54,1,14,26,33
OR-507,Clackamas County CoC,Largely Suburban CoC,471,53,35,383,174,297,0,0,407,64,366,25,5,26,4,45
PA-500,Philadelphia CoC,Major City CoC, 5735 , 1,286 ,448, 4,001 , 2,214 , 3,481 ,27,13, 5,208 ,527, 1
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,418,85,50,283,141,277,0,0,354,64,154,241,1,1,0,21
PA-502, Upper Darby Chester Haverford/Delaware County CoC ,Largely Suburban CoC,400,125,19,256,188,212,0,0,371,29,97,281,2,1,1,18
PA-503, Wilkes-Barre Hazleton/Luzerne County CoC ,Largely Suburban CoC,164,43,21,100,89,75,0,0,143,21,102,56,0,0,0,6
PA-504, Lower Merion Norristown Abington/Montgomery County CoC ,Largely Suburban CoC,246,82,13,151,138,108,0,0,235,11,82,147,3,1,0,13
PA-505,Chester County CoC,Largely Suburban CoC,528,95,15,418,156,372,0,0,480,48,288,230,0,2,1,7
PA-506,Reading/Berks County CoC,Largely Suburban CoC,597,91,45,461,217,375,0,5,395,202,366,196,0,1,0,34
PA-508,Scranton/Lackawanna County CoC,Largely Suburban CoC,186,24,27,135,66,119,1,0,153,33,143,32,0,0,0,11
PA-509,Eastern Pennsylvania CoC,Largely Rural CoC, 1843 ,467,198, 1,178 ,827, 1,016 ,0,0, 1,515 ,328, 1,364 ,390
PA-510,Lancaster City & County CoC,Largely Suburban CoC,422,117,37,268,192,230,0,0,296,126,261,119,1,5,0,36
PA-511, Bristol Bensalem/Bucks County CoC ,Largely Suburban CoC,359,124,26,209,198,159,2,0,314,45,239,97,2,5,1,15
PA-512,York City & County CoC,Largely Suburban CoC,321,94,24,203,142,179,0,0,266,55,183,98,0,0,4,36
PA-600, Pittsburgh McKeesport Penn Hills/Allegheny County CoC ,Largely Suburban CoC,774,112,75,587,287,485,2,0,746,28,320,370,8,2,5,69
PA-601,Western Pennsylvania CoC,Largely Rural CoC,727,160,54,513,332,395,0,0,718,9,608,100,2,3,1,13
PA-603,Beaver County CoC,Largely Suburban CoC,123,49,4,70,59,64,0,0,116,7,68,46,0,1,1,7
PA-605,Erie City & County CoC,Largely Suburban CoC,356,66,23,267,127,229,0,0,337,19,185,143,0,1,0,27
PR-502,Puerto Rico Balance of Commonwealth CoC,Largely Suburban CoC, 1345 ,84,54, 1,207 ,310, 1,032 ,2,1,39, 1,306 ,552,238,3
PR-503,South-Southeast Puerto Rico CoC,Largely Suburban CoC, 1190 ,26,31, 1,133 ,223,958,9,0,19, 1,171 ,528,224,1,5
RI-500,Rhode Island Statewide CoC,Largely Suburban CoC, 1055 ,197,39,819,358,690,7,0,799,256,655,309,8,17,4,62
SC-500,Charleston/Low Country CoC,Largely Suburban CoC,403,31,12,360,115,287,1,0,380,23,124,246,2,3,3,25
SC-501, Greenville Anderson Spartanburg/Upstate CoC ,Largely Suburban CoC, 1,401 ,192,74, 1,135 ,512,888,0,1, 1,356 ,45,711,613,4
SC-502,Columbia/Midlands CoC,Largely Suburban CoC, 1215 ,142,95,978,416,796,1,2, 1,185 ,30,356,815,5,12,2
SC-503, Myrtle Beach Sumter City & County CoC ,Largely Rural CoC, 1,153 ,155,82,916,477,676,0,0, 1,131 ,22,602,486,3,10
SD-500,South Dakota Statewide CoC,Largely Rural CoC,995,188,72,735,389,605,1,0,945,50,285,75,3,609,0,23
TN-500,Chattanooga/Southeast Tennessee CoC,Largely Rural CoC,463,60,27,376,154,308,0,1,443,20,290,136,2,8,1,26
TN-501,Memphis/Shelby County CoC,Major City CoC, 1325 ,365,63,897,550,771,4,0, 1,303 ,22,269, 1,032 ,3,3
TN-502,Knoxville/Knox County CoC,Largely Suburban CoC,800,53,60,687,347,452,1,0,772,28,580,185,0,9,0,26
TN-503,Central Tennessee CoC,Largely Rural CoC,357,62,20,275,135,222,0,0,346,11,194,158,0,0,1,4
TN-504,Nashville-Davidson County CoC,Major City CoC, 1986 ,124,86, 1,776 ,487, 1,496 ,3,0, 1,918 ,68,993,890,14
TN-506,Upper Cumberland CoC,Largely Rural CoC,273,43,24,206,118,154,1,0,264,9,237,19,1,2,6,8
TN-507,Jackson/West Tennessee CoC,Largely Rural CoC,959,256,62,641,492,467,0,0,959,0,578,310,0,0,0,71
TN-509,Appalachian Regional CoC,Largely Rural CoC,405,64,20,321,144,261,0,0,383,22,371,32,0,2,0,0
TN-510,Murfreesboro/Rutherford County CoC,Largely Suburban CoC,384,36,19,329,158,226,0,0,372,12,283,94,0,0,1,6
TN-512, Morristown/Blount Sevier Campbell Cocke Counties CoC ,Largely Rural CoC,515,107,40,368,238,275,1,1,505,10,473,30,2,1,1,8
TX-500,San Antonio/Bexar County CoC,Major City CoC, 2872 ,523,128, 2,221 , 1,049 , 1,813 ,10,0, 1,561 , 1,311 , 2
TX-503,Austin/Travis County CoC,Major City CoC, 2255 ,376,107, 1,772 ,755, 1,490 ,5,5, 1,586 ,669, 1,334 ,776
TX-600, Dallas City & County Irving CoC ,Major City CoC, 4,538 ,732,232, 3,574 , 1,531 , 2,999 ,8,0, 3,870 ,668, 1
TX-601, Fort Worth Arlington/Tarrant County CoC ,Major City CoC, 2,028 ,286,83, 1,659 ,723, 1,299 ,6,0, 1,758 ,270, 1,008 
TX-603,El Paso City & County CoC,Major City CoC,809,187,68,554,266,543,0,0,239,570,713,65,4,7,1,19
TX-604,Waco/McLennan County CoC,Largely Rural CoC,193,35,17,141,72,121,0,0,155,38,103,76,0,0,1,13
TX-607,Texas Balance of State CoC,Largely Rural CoC, 8072 , 1,308 ,555, 6,209 , 3,095 , 4,941 ,24,12, 5,357 , 2,715 
TX-611,Amarillo CoC,Other Largely Urban CoC,777,116,41,620,285,491,1,0,545,232,540,184,8,9,0,36
TX-624, Wichita Falls/Wise Palo Pinto Wichita Archer Counties CoC ,Largely Rural CoC,243,30,5,208,88,155,0,0,234,9,191,43,1,2,0,6
TX-700, Houston Pasadena Conroe/Harris Ft. Bend Montgomery Counties CoC ,Major City CoC, 3,938 ,634,280, 3,024 , 1,492 , 2,435 ,11,0, 3,470 ,468, 1
TX-701, Bryan College Station/Brazos Valley CoC ,Other Largely Urban CoC,123,22,7,94,48,74,1,0,109,14,59,58,3,3,0,0
UT-500,Salt Lake City & County CoC,Largely Suburban CoC, 1844 ,327,132, 1,385 ,668, 1,161 ,10,5, 1,418 ,426, 1,349 ,203
UT-503,Utah Balance of State CoC,Largely Suburban CoC,793,210,44,539,366,425,2,0,635,158,669,68,4,24,11,17
UT-504,Provo/Mountainland CoC,Largely Suburban CoC,161,28,14,119,74,87,0,0,137,24,141,5,0,10,1,4
VA-500, Richmond/Henrico Chesterfield Hanover Counties CoC ,Largely Suburban CoC,497,68,20,409,160,335,1,1,460,37,133,340,2,2,1,19
VA-501, Norfolk Chesapeake Suffolk/Isle of Wight Southampton Counties CoC ,Largely Suburban CoC,700,131,47,522,238,459,3,0,671,29,155,511,8,4,0,22
VA-502, Roanoke City & County Salem CoC ,Largely Suburban CoC,319,47,16,256,122,197,0,0,308,11,170,128,1,1,0,19
VA-503,Virginia Beach CoC,Major City CoC,260,54,16,190,106,153,0,1,242,18,109,129,0,3,4,15
VA-504,Charlottesville CoC,Largely Rural CoC,165,15,10,140,46,119,0,0,153,12,87,62,1,3,0,12
VA-505, Newport News Hampton/Virginia Peninsula CoC ,Other Largely Urban CoC,427,79,19,329,145,281,1,0,414,13,108,289,1,1,2,26
VA-507,Portsmouth CoC,Other Largely Urban CoC,119,25,3,91,41,78,0,0,116,3,15,103,0,0,0,1
VA-508,Lynchburg CoC,Largely Rural CoC,78,16,5,57,32,46,0,0,76,2,45,24,0,2,0,7
VA-513, Harrisburg Winchester/Western Virginia CoC ,Largely Rural CoC,342,66,14,262,130,212,0,0,298,44,241,59,5,5,0,32
VA-514, Fredericksburg/Spotsylvania Stafford Counties CoC ,Largely Suburban CoC,221,60,16,145,92,129,0,0,200,21,94,90,1,2,0,34
VA-521,Virginia Balance of State CoC,Largely Rural CoC,761,246,46,469,399,359,2,1,718,43,409,287,6,8,1,50
VA-600,Arlington County CoC,Other Largely Urban CoC,215,38,12,165,83,132,0,0,183,32,84,121,3,0,0,7
VA-601,Fairfax County CoC,Largely Suburban CoC, 1034 ,330,88,616,450,582,1,1,919,115,315,610,55,7,3,44
VA-602,Loudoun County CoC,Largely Suburban CoC,167,22,31,114,66,101,0,0,151,16,91,62,7,0,0,7
VA-603,Alexandria CoC,Other Largely Urban CoC,198,46,12,140,82,116,0,0,171,27,65,126,2,0,0,5
VA-604,Prince William County CoC,Largely Suburban CoC,280,103,12,165,126,153,1,0,233,47,87,159,5,3,0,26
VI-500,Virgin Islands CoC,Largely Rural CoC,314,0,6,308,73,236,0,5,270,44,46,228,0,6,0,34
VT-500,Vermont Balance of State CoC,Largely Rural CoC,780,200,93,487,349,422,6,3,751,29,690,40,3,6,0,41
VT-501,Burlington/Chittenden County CoC,Other Largely Urban CoC,309,51,43,215,112,194,3,0,296,13,235,45,16,2,1,10
WA-500,Seattle/King County CoC,Major City CoC, 11199 , 1,550 , 1,229 , 8,420 , 4,465 , 6,222 ,217,295, 9,567 , 1
WA-501,Washington Balance of State CoC,Largely Rural CoC, 5509 , 1,067 ,500, 3,942 , 2,343 , 3,137 ,18,11, 4,636 ,873, 4
WA-502,Spokane City & County CoC,Other Largely Urban CoC, 1309 ,192,105, 1,012 ,511,789,6,3, 1,201 ,108,956,121,3,99
WA-503, Tacoma Lakewood/Pierce County CoC ,Largely Suburban CoC, 1,486 ,242,150, 1,094 ,572,911,1,2, 1,280 ,206,800,320,21
WA-504,Everett/Snohomish County CoC,Largely Suburban CoC, 1116 ,234,91,791,502,607,0,7,953,163,830,95,12,29,53,97
WA-508,Vancouver/Clark County CoC,Largely Suburban CoC,958,272,48,638,427,524,4,3,869,89,735,75,11,19,54,64
WI-500,Wisconsin Balance of State CoC,Largely Rural CoC, 2875 ,940,189, 1,746 , 1,334 , 1,531 ,7,3, 2,614 ,261, 1,890 
WI-501,Milwaukee City & County CoC,Major City CoC,885,197,49,639,297,587,1,0,788,97,282,552,3,10,2,36
WI-502,Racine City & County CoC,Largely Suburban CoC,200,31,6,163,77,123,0,0,186,14,114,71,1,0,1,13
WI-503,Madison/Dane County CoC,Other Largely Urban CoC,578,135,42,401,239,337,1,1,536,42,259,288,6,5,0,20
WV-500, Wheeling Weirton Area CoC ,Largely Rural CoC,136,19,14,103,59,77,0,0,128,8,110,14,5,0,0,7
